treeDepth, leafs, distanceLeafs, totalHashes, pathLength, hashesPerLeaf
8, 2, 1, 8, 7, 4
8, 3, 1, 9, 7, 3
8, 4, 1, 9, 6, 2.25
8, 5, 1, 11, 7, 2.2
8, 6, 1, 11, 6, 1.83
8, 7, 1, 12, 6, 1.71
8, 8, 1, 12, 5, 1.5
8, 9, 1, 15, 7, 1.67
8, 10, 1, 15, 6, 1.5
8, 11, 1, 16, 6, 1.45
8, 12, 1, 16, 5, 1.33
8, 13, 1, 18, 6, 1.38
8, 14, 1, 18, 5, 1.29
8, 15, 1, 19, 5, 1.27
8, 16, 1, 19, 4, 1.19
8, 17, 1, 23, 7, 1.35
8, 18, 1, 23, 6, 1.28
8, 19, 1, 24, 6, 1.26
8, 20, 1, 24, 5, 1.2
8, 21, 1, 26, 6, 1.24
8, 22, 1, 26, 5, 1.18
8, 23, 1, 27, 5, 1.17
8, 24, 1, 27, 4, 1.13
8, 25, 1, 30, 6, 1.2
8, 26, 1, 30, 5, 1.15
8, 27, 1, 31, 5, 1.15
8, 28, 1, 31, 4, 1.11
8, 29, 1, 33, 5, 1.14
8, 30, 1, 33, 4, 1.1
8, 2, 2, 9, 8, 4.5
8, 3, 2, 11, 9, 3.67
8, 4, 2, 12, 9, 3
8, 5, 2, 15, 11, 3
8, 6, 2, 16, 11, 2.67
8, 7, 2, 18, 12, 2.57
8, 8, 2, 19, 12, 2.38
8, 9, 2, 23, 15, 2.56
8, 10, 2, 24, 15, 2.4
8, 11, 2, 26, 16, 2.36
8, 12, 2, 27, 16, 2.25
8, 13, 2, 30, 18, 2.31
8, 14, 2, 31, 18, 2.21
8, 15, 2, 33, 19, 2.2
8, 16, 2, 34, 19, 2.13
8, 17, 2, 39, 23, 2.29
8, 18, 2, 40, 23, 2.22
8, 19, 2, 42, 24, 2.21
8, 20, 2, 43, 24, 2.15
8, 21, 2, 46, 26, 2.19
8, 22, 2, 47, 26, 2.14
8, 23, 2, 49, 27, 2.13
8, 24, 2, 50, 27, 2.08
8, 25, 2, 54, 30, 2.16
8, 26, 2, 55, 30, 2.12
8, 27, 2, 57, 31, 2.11
8, 28, 2, 58, 31, 2.07
8, 29, 2, 61, 33, 2.1
8, 30, 2, 62, 33, 2.07
