treeDepth, leafs, distanceLeafs, totalHashes, pathLength, hashesPerLeaf
14, 2, 10, 17, 16, 8.5
14, 4, 10, 24, 21, 6
14, 6, 10, 33, 28, 5.5
14, 8, 10, 42, 35, 5.25
14, 10, 10, 49, 40, 4.9
14, 12, 10, 57, 46, 4.75
14, 14, 10, 68, 55, 4.86
14, 16, 10, 75, 60, 4.69
14, 18, 10, 83, 66, 4.61
14, 20, 10, 90, 71, 4.5
14, 22, 10, 100, 79, 4.55
14, 24, 10, 108, 85, 4.5
14, 26, 10, 115, 90, 4.42
14, 28, 10, 126, 99, 4.5
14, 30, 10, 135, 106, 4.5
14, 32, 10, 142, 111, 4.44
14, 34, 10, 151, 118, 4.44
14, 36, 10, 158, 123, 4.39
14, 38, 10, 167, 130, 4.39
14, 40, 10, 177, 138, 4.43
14, 42, 10, 184, 143, 4.38
14, 44, 10, 192, 149, 4.36
14, 46, 10, 202, 157, 4.39
14, 48, 10, 209, 162, 4.35
14, 50, 10, 217, 168, 4.34
14, 2, 20, 18, 17, 9
14, 4, 20, 27, 24, 6.75
14, 6, 20, 38, 33, 6.33
14, 8, 20, 49, 42, 6.13
14, 10, 20, 58, 49, 5.8
14, 12, 20, 68, 57, 5.67
14, 14, 20, 81, 68, 5.79
14, 16, 20, 90, 75, 5.63
14, 18, 20, 100, 83, 5.56
14, 20, 20, 109, 90, 5.45
14, 22, 20, 121, 100, 5.5
14, 24, 20, 131, 108, 5.46
14, 26, 20, 140, 115, 5.38
14, 28, 20, 153, 126, 5.46
14, 30, 20, 164, 135, 5.47
14, 32, 20, 173, 142, 5.41
14, 34, 20, 184, 151, 5.41
14, 36, 20, 193, 158, 5.36
14, 38, 20, 204, 167, 5.37
14, 40, 20, 216, 177, 5.4
14, 42, 20, 225, 184, 5.36
14, 44, 20, 235, 192, 5.34
14, 46, 20, 247, 202, 5.37
14, 48, 20, 256, 209, 5.33
14, 50, 20, 266, 217, 5.32
14, 2, 30, 18, 17, 9
14, 4, 30, 29, 26, 7.25
14, 6, 30, 41, 36, 6.83
14, 8, 30, 52, 45, 6.5
14, 10, 30, 65, 56, 6.5
14, 12, 30, 76, 65, 6.33
14, 14, 30, 88, 75, 6.29
14, 16, 30, 99, 84, 6.19
14, 18, 30, 108, 91, 6
14, 20, 30, 122, 103, 6.1
14, 22, 30, 133, 112, 6.05
14, 24, 30, 145, 122, 6.04
14, 26, 30, 156, 131, 6
14, 28, 30, 169, 142, 6.04
14, 30, 30, 180, 151, 6
14, 32, 30, 192, 161, 6
14, 34, 30, 202, 169, 5.94
14, 36, 30, 217, 182, 6.03
14, 38, 30, 228, 191, 6
14, 40, 30, 240, 201, 6
14, 42, 30, 251, 210, 5.98
14, 44, 30, 264, 221, 6
14, 46, 30, 275, 230, 5.98
14, 48, 30, 287, 240, 5.98
14, 50, 30, 296, 247, 5.92
14, 2, 40, 19, 18, 9.5
14, 4, 40, 30, 27, 7.5
14, 6, 40, 43, 38, 7.17
14, 8, 40, 56, 49, 7
14, 10, 40, 67, 58, 6.7
14, 12, 40, 79, 68, 6.58
14, 14, 40, 94, 81, 6.71
14, 16, 40, 105, 90, 6.56
14, 18, 40, 117, 100, 6.5
14, 20, 40, 128, 109, 6.4
14, 22, 40, 142, 121, 6.45
14, 24, 40, 154, 131, 6.42
14, 26, 40, 165, 140, 6.35
14, 28, 40, 180, 153, 6.43
14, 30, 40, 193, 164, 6.43
14, 32, 40, 204, 173, 6.38
14, 34, 40, 217, 184, 6.38
14, 36, 40, 228, 193, 6.33
14, 38, 40, 241, 204, 6.34
14, 40, 40, 255, 216, 6.38
14, 42, 40, 266, 225, 6.33
14, 44, 40, 278, 235, 6.32
14, 46, 40, 292, 247, 6.35
14, 48, 40, 303, 256, 6.31
14, 50, 40, 315, 266, 6.3
14, 2, 50, 19, 18, 9.5
14, 4, 50, 32, 29, 8
14, 6, 50, 43, 38, 7.17
14, 8, 50, 57, 50, 7.13
14, 10, 50, 70, 61, 7
14, 12, 50, 84, 73, 7
14, 14, 50, 97, 84, 6.93
14, 16, 50, 108, 93, 6.75
14, 18, 50, 122, 105, 6.78
14, 20, 50, 134, 115, 6.7
14, 22, 50, 150, 129, 6.82
14, 24, 50, 161, 138, 6.71
14, 26, 50, 174, 149, 6.69
14, 28, 50, 188, 161, 6.71
14, 30, 50, 200, 171, 6.67
14, 32, 50, 215, 184, 6.72
14, 34, 50, 226, 193, 6.65
14, 36, 50, 239, 204, 6.64
14, 38, 50, 252, 215, 6.63
14, 40, 50, 265, 226, 6.63
14, 42, 50, 282, 241, 6.71
14, 44, 50, 293, 250, 6.66
14, 46, 50, 306, 261, 6.65
14, 48, 50, 319, 272, 6.65
14, 50, 50, 332, 283, 6.64
14, 2, 60, 19, 18, 9.5
14, 4, 60, 32, 29, 8
14, 6, 60, 46, 41, 7.67
14, 8, 60, 59, 52, 7.38
14, 10, 60, 74, 65, 7.4
14, 12, 60, 87, 76, 7.25
14, 14, 60, 101, 88, 7.21
14, 16, 60, 114, 99, 7.13
14, 18, 60, 125, 108, 6.94
