treeDepth, leafs, distanceLeafs, totalHashes, pathLength, hashesPerLeaf
16, 2, 10, 19, 18, 9.5
16, 4, 10, 26, 23, 6.5
16, 6, 10, 35, 30, 5.83
16, 8, 10, 44, 37, 5.5
16, 10, 10, 51, 42, 5.1
16, 12, 10, 59, 48, 4.92
16, 14, 10, 70, 57, 5
16, 16, 10, 77, 62, 4.81
16, 18, 10, 85, 68, 4.72
16, 20, 10, 92, 73, 4.6
16, 22, 10, 102, 81, 4.64
16, 24, 10, 110, 87, 4.58
16, 26, 10, 117, 92, 4.5
16, 28, 10, 128, 101, 4.57
16, 30, 10, 137, 108, 4.57
16, 32, 10, 144, 113, 4.5
16, 34, 10, 153, 120, 4.5
16, 36, 10, 160, 125, 4.44
16, 38, 10, 169, 132, 4.45
16, 40, 10, 179, 140, 4.47
16, 42, 10, 186, 145, 4.43
16, 44, 10, 194, 151, 4.41
16, 46, 10, 204, 159, 4.43
16, 48, 10, 211, 164, 4.4
16, 50, 10, 219, 170, 4.38
16, 2, 20, 20, 19, 10
16, 4, 20, 29, 26, 7.25
16, 6, 20, 40, 35, 6.67
16, 8, 20, 51, 44, 6.38
16, 10, 20, 60, 51, 6
16, 12, 20, 70, 59, 5.83
16, 14, 20, 83, 70, 5.93
16, 16, 20, 92, 77, 5.75
16, 18, 20, 102, 85, 5.67
16, 20, 20, 111, 92, 5.55
16, 22, 20, 123, 102, 5.59
16, 24, 20, 133, 110, 5.54
16, 26, 20, 142, 117, 5.46
16, 28, 20, 155, 128, 5.54
16, 30, 20, 166, 137, 5.53
16, 32, 20, 175, 144, 5.47
16, 34, 20, 186, 153, 5.47
16, 36, 20, 195, 160, 5.42
16, 38, 20, 206, 169, 5.42
16, 40, 20, 218, 179, 5.45
16, 42, 20, 227, 186, 5.4
16, 44, 20, 237, 194, 5.39
16, 46, 20, 249, 204, 5.41
16, 48, 20, 258, 211, 5.38
16, 50, 20, 268, 219, 5.36
16, 2, 30, 20, 19, 10
16, 4, 30, 31, 28, 7.75
16, 6, 30, 43, 38, 7.17
16, 8, 30, 54, 47, 6.75
16, 10, 30, 67, 58, 6.7
16, 12, 30, 78, 67, 6.5
16, 14, 30, 90, 77, 6.43
16, 16, 30, 101, 86, 6.31
16, 18, 30, 110, 93, 6.11
16, 20, 30, 124, 105, 6.2
16, 22, 30, 135, 114, 6.14
16, 24, 30, 147, 124, 6.13
16, 26, 30, 158, 133, 6.08
16, 28, 30, 171, 144, 6.11
16, 30, 30, 182, 153, 6.07
16, 32, 30, 194, 163, 6.06
16, 34, 30, 204, 171, 6
16, 36, 30, 219, 184, 6.08
16, 38, 30, 230, 193, 6.05
16, 40, 30, 242, 203, 6.05
16, 42, 30, 253, 212, 6.02
16, 44, 30, 266, 223, 6.05
16, 46, 30, 277, 232, 6.02
16, 48, 30, 289, 242, 6.02
16, 50, 30, 298, 249, 5.96
16, 2, 40, 21, 20, 10.5
16, 4, 40, 32, 29, 8
16, 6, 40, 45, 40, 7.5
16, 8, 40, 58, 51, 7.25
16, 10, 40, 69, 60, 6.9
16, 12, 40, 81, 70, 6.75
16, 14, 40, 96, 83, 6.86
16, 16, 40, 107, 92, 6.69
16, 18, 40, 119, 102, 6.61
16, 20, 40, 130, 111, 6.5
16, 22, 40, 144, 123, 6.55
16, 24, 40, 156, 133, 6.5
16, 26, 40, 167, 142, 6.42
16, 28, 40, 182, 155, 6.5
16, 30, 40, 195, 166, 6.5
16, 32, 40, 206, 175, 6.44
16, 34, 40, 219, 186, 6.44
16, 36, 40, 230, 195, 6.39
16, 38, 40, 243, 206, 6.39
16, 40, 40, 257, 218, 6.43
16, 42, 40, 268, 227, 6.38
16, 44, 40, 280, 237, 6.36
16, 46, 40, 294, 249, 6.39
16, 48, 40, 305, 258, 6.35
16, 50, 40, 317, 268, 6.34
16, 2, 50, 21, 20, 10.5
16, 4, 50, 34, 31, 8.5
16, 6, 50, 45, 40, 7.5
16, 8, 50, 59, 52, 7.38
16, 10, 50, 72, 63, 7.2
16, 12, 50, 86, 75, 7.17
16, 14, 50, 99, 86, 7.07
16, 16, 50, 110, 95, 6.88
16, 18, 50, 124, 107, 6.89
16, 20, 50, 136, 117, 6.8
16, 22, 50, 152, 131, 6.91
16, 24, 50, 163, 140, 6.79
16, 26, 50, 176, 151, 6.77
16, 28, 50, 190, 163, 6.79
16, 30, 50, 202, 173, 6.73
16, 32, 50, 217, 186, 6.78
16, 34, 50, 228, 195, 6.71
16, 36, 50, 241, 206, 6.69
16, 38, 50, 254, 217, 6.68
16, 40, 50, 267, 228, 6.68
16, 42, 50, 284, 243, 6.76
16, 44, 50, 295, 252, 6.7
16, 46, 50, 308, 263, 6.7
16, 48, 50, 321, 274, 6.69
16, 50, 50, 334, 285, 6.68
16, 2, 60, 21, 20, 10.5
16, 4, 60, 34, 31, 8.5
16, 6, 60, 48, 43, 8
16, 8, 60, 61, 54, 7.63
16, 10, 60, 76, 67, 7.6
16, 12, 60, 89, 78, 7.42
16, 14, 60, 103, 90, 7.36
16, 16, 60, 116, 101, 7.25
16, 18, 60, 127, 110, 7.06
16, 20, 60, 143, 124, 7.15
16, 22, 60, 156, 135, 7.09
16, 24, 60, 170, 147, 7.08
16, 26, 60, 183, 158, 7.04
16, 28, 60, 198, 171, 7.07
16, 30, 60, 211, 182, 7.03
16, 32, 60, 225, 194, 7.03
16, 34, 60, 237, 204, 6.97
16, 36, 60, 254, 219, 7.06
16, 38, 60, 267, 230, 7.03
16, 40, 60, 281, 242, 7.03
16, 42, 60, 294, 253, 7
16, 44, 60, 309, 266, 7.02
16, 46, 60, 322, 277, 7
16, 48, 60, 336, 289, 7
16, 50, 60, 347, 298, 6.94
16, 2, 70, 22, 21, 11
16, 4, 70, 35, 32, 8.75
16, 6, 70, 49, 44, 8.17
16, 8, 70, 62, 55, 7.75
16, 10, 70, 77, 68, 7.7
16, 12, 70, 92, 81, 7.67
16, 14, 70, 105, 92, 7.5
16, 16, 70, 121, 106, 7.56
16, 18, 70, 134, 117, 7.44
16, 20, 70, 148, 129, 7.4
16, 22, 70, 161, 140, 7.32
16, 24, 70, 176, 153, 7.33
16, 26, 70, 189, 164, 7.27
16, 28, 70, 203, 176, 7.25
16, 30, 70, 216, 187, 7.2
16, 32, 70, 233, 202, 7.28
16, 34, 70, 248, 215, 7.29
16, 36, 70, 261, 226, 7.25
16, 38, 70, 276, 239, 7.26
16, 40, 70, 289, 250, 7.23
16, 42, 70, 303, 262, 7.21
16, 44, 70, 316, 273, 7.18
16, 46, 70, 332, 287, 7.22
16, 48, 70, 345, 298, 7.19
16, 50, 70, 359, 310, 7.18
16, 2, 80, 22, 21, 11
16, 4, 80, 35, 32, 8.75
16, 6, 80, 50, 45, 8.33
16, 8, 80, 65, 58, 8.13
16, 10, 80, 78, 69, 7.8
16, 12, 80, 92, 81, 7.67
16, 14, 80, 109, 96, 7.79
16, 16, 80, 122, 107, 7.63
16, 18, 80, 136, 119, 7.56
16, 20, 80, 149, 130, 7.45
16, 22, 80, 165, 144, 7.5
16, 24, 80, 179, 156, 7.46
16, 26, 80, 192, 167, 7.38
16, 28, 80, 209, 182, 7.46
16, 30, 80, 224, 195, 7.47
16, 32, 80, 237, 206, 7.41
16, 34, 80, 252, 219, 7.41
16, 36, 80, 265, 230, 7.36
16, 38, 80, 280, 243, 7.37
16, 40, 80, 296, 257, 7.4
16, 42, 80, 309, 268, 7.36
16, 44, 80, 323, 280, 7.34
16, 46, 80, 339, 294, 7.37
16, 48, 80, 352, 305, 7.33
16, 50, 80, 366, 317, 7.32
16, 2, 90, 22, 21, 11
16, 4, 90, 37, 34, 9.25
16, 6, 90, 50, 45, 8.33
16, 8, 90, 65, 58, 8.13
16, 10, 90, 80, 71, 8
16, 12, 90, 93, 82, 7.75
16, 14, 90, 110, 97, 7.86
16, 16, 90, 124, 109, 7.75
16, 18, 90, 137, 120, 7.61
16, 20, 90, 153, 134, 7.65
16, 22, 90, 167, 146, 7.59
16, 24, 90, 185, 162, 7.71
16, 26, 90, 198, 173, 7.62
16, 28, 90, 212, 185, 7.57
16, 30, 90, 228, 199, 7.6
16, 32, 90, 241, 210, 7.53
16, 34, 90, 256, 223, 7.53
16, 36, 90, 272, 237, 7.56
16, 38, 90, 287, 250, 7.55
16, 40, 90, 300, 261, 7.5
16, 42, 90, 315, 274, 7.5
16, 44, 90, 330, 287, 7.5
16, 46, 90, 343, 298, 7.46
16, 48, 90, 362, 315, 7.54
16, 50, 90, 376, 327, 7.52
16, 2, 100, 22, 21, 11
16, 4, 100, 37, 34, 9.25
16, 6, 100, 50, 45, 8.33
