treeDepth, leafs, distanceLeafs, totalHashes, hashesPerLeaf
8, 2, 1, 8, 4
8, 3, 1, 9, 3
8, 4, 1, 9, 2.25
8, 5, 1, 11, 2.2
8, 6, 1, 11, 1.83
8, 7, 1, 12, 1.71
8, 8, 1, 12, 1.5
8, 9, 1, 15, 1.67
8, 10, 1, 15, 1.5
8, 11, 1, 16, 1.45
8, 12, 1, 16, 1.33
8, 13, 1, 18, 1.38
8, 14, 1, 18, 1.29
8, 15, 1, 19, 1.27
8, 16, 1, 19, 1.19
8, 17, 1, 23, 1.35
8, 18, 1, 23, 1.28
8, 19, 1, 24, 1.26
8, 20, 1, 24, 1.2
8, 21, 1, 26, 1.24
8, 22, 1, 26, 1.18
8, 23, 1, 27, 1.17
8, 24, 1, 27, 1.13
8, 25, 1, 30, 1.2
8, 26, 1, 30, 1.15
8, 27, 1, 31, 1.15
8, 28, 1, 31, 1.11
8, 29, 1, 33, 1.14
8, 30, 1, 33, 1.1
8, 2, 2, 9, 4.5
8, 3, 2, 11, 3.67
8, 4, 2, 12, 3
8, 5, 2, 15, 3
8, 6, 2, 16, 2.67
8, 7, 2, 18, 2.57
8, 8, 2, 19, 2.38
8, 9, 2, 23, 2.56
8, 10, 2, 24, 2.4
8, 11, 2, 26, 2.36
8, 12, 2, 27, 2.25
8, 13, 2, 30, 2.31
8, 14, 2, 31, 2.21
8, 15, 2, 33, 2.2
8, 16, 2, 34, 2.13
8, 17, 2, 39, 2.29
8, 18, 2, 40, 2.22
8, 19, 2, 42, 2.21
8, 20, 2, 43, 2.15
8, 21, 2, 46, 2.19
8, 22, 2, 47, 2.14
8, 23, 2, 49, 2.13
8, 24, 2, 50, 2.08
8, 25, 2, 54, 2.16
8, 26, 2, 55, 2.12
8, 27, 2, 57, 2.11
8, 28, 2, 58, 2.07
8, 29, 2, 61, 2.1
8, 30, 2, 62, 2.07
8, 2, 3, 9, 4.5
8, 3, 3, 11, 3.67
8, 4, 3, 14, 3.5
8, 5, 3, 16, 3.2
8, 6, 3, 17, 2.83
8, 7, 3, 21, 3
8, 8, 3, 23, 2.88
8, 9, 3, 26, 2.89
8, 10, 3, 27, 2.7
8, 11, 3, 29, 2.64
8, 12, 3, 34, 2.83
8, 13, 3, 36, 2.77
8, 14, 3, 37, 2.64
8, 15, 3, 40, 2.67
8, 16, 3, 42, 2.63
8, 17, 3, 46, 2.71
8, 18, 3, 47, 2.61
8, 19, 3, 49, 2.58
8, 20, 3, 52, 2.6
8, 21, 3, 54, 2.57
8, 22, 3, 55, 2.5
8, 23, 3, 61, 2.65
8, 24, 3, 63, 2.63
8, 25, 3, 66, 2.64
8, 26, 3, 67, 2.58
8, 27, 3, 69, 2.56
8, 28, 3, 73, 2.61
8, 29, 3, 75, 2.59
8, 30, 3, 76, 2.53
8, 2, 4, 10, 5
8, 3, 4, 13, 4.33
8, 4, 4, 15, 3.75
8, 5, 4, 19, 3.8
8, 6, 4, 21, 3.5
8, 7, 4, 24, 3.43
8, 8, 4, 26, 3.25
8, 9, 4, 31, 3.44
8, 10, 4, 33, 3.3
8, 11, 4, 36, 3.27
8, 12, 4, 38, 3.17
8, 13, 4, 42, 3.23
8, 14, 4, 44, 3.14
8, 15, 4, 47, 3.13
8, 16, 4, 49, 3.06
8, 17, 4, 55, 3.24
8, 18, 4, 57, 3.17
8, 19, 4, 60, 3.16
8, 20, 4, 62, 3.1
8, 21, 4, 66, 3.14
8, 22, 4, 68, 3.09
8, 23, 4, 71, 3.09
8, 24, 4, 73, 3.04
8, 25, 4, 78, 3.12
8, 26, 4, 80, 3.08
8, 27, 4, 83, 3.07
8, 28, 4, 85, 3.04
8, 29, 4, 89, 3.07
8, 30, 4, 91, 3.03
8, 2, 5, 10, 5
8, 3, 5, 13, 4.33
8, 4, 5, 15, 3.75
8, 5, 5, 19, 3.8
8, 6, 5, 22, 3.67
8, 7, 5, 24, 3.43
8, 8, 5, 29, 3.63
8, 9, 5, 32, 3.56
8, 10, 5, 34, 3.4
8, 11, 5, 38, 3.45
8, 12, 5, 40, 3.33
8, 13, 5, 43, 3.31
8, 14, 5, 49, 3.5
8, 15, 5, 51, 3.4
8, 16, 5, 54, 3.38
8, 17, 5, 58, 3.41
8, 18, 5, 60, 3.33
8, 19, 5, 63, 3.32
8, 20, 5, 65, 3.25
8, 21, 5, 70, 3.33
8, 22, 5, 73, 3.32
8, 23, 5, 75, 3.26
8, 24, 5, 79, 3.29
8, 25, 5, 82, 3.28
8, 26, 5, 84, 3.23
8, 27, 5, 91, 3.37
8, 28, 5, 93, 3.32
8, 29, 5, 96, 3.31
8, 30, 5, 100, 3.33
9, 2, 1, 9, 4.5
9, 3, 1, 10, 3.33
9, 4, 1, 10, 2.5
9, 5, 1, 12, 2.4
9, 6, 1, 12, 2
9, 7, 1, 13, 1.86
9, 8, 1, 13, 1.63
9, 9, 1, 16, 1.78
9, 10, 1, 16, 1.6
9, 11, 1, 17, 1.55
9, 12, 1, 17, 1.42
9, 13, 1, 19, 1.46
9, 14, 1, 19, 1.36
9, 15, 1, 20, 1.33
9, 16, 1, 20, 1.25
9, 17, 1, 24, 1.41
9, 18, 1, 24, 1.33
9, 19, 1, 25, 1.32
9, 20, 1, 25, 1.25
9, 21, 1, 27, 1.29
9, 22, 1, 27, 1.23
9, 23, 1, 28, 1.22
9, 24, 1, 28, 1.17
9, 25, 1, 31, 1.24
9, 26, 1, 31, 1.19
9, 27, 1, 32, 1.19
9, 28, 1, 32, 1.14
9, 29, 1, 34, 1.17
9, 30, 1, 34, 1.13
9, 2, 2, 10, 5
9, 3, 2, 12, 4
9, 4, 2, 13, 3.25
9, 5, 2, 16, 3.2
9, 6, 2, 17, 2.83
9, 7, 2, 19, 2.71
9, 8, 2, 20, 2.5
9, 9, 2, 24, 2.67
9, 10, 2, 25, 2.5
9, 11, 2, 27, 2.45
9, 12, 2, 28, 2.33
9, 13, 2, 31, 2.38
9, 14, 2, 32, 2.29
9, 15, 2, 34, 2.27
9, 16, 2, 35, 2.19
9, 17, 2, 40, 2.35
9, 18, 2, 41, 2.28
9, 19, 2, 43, 2.26
9, 20, 2, 44, 2.2
9, 21, 2, 47, 2.24
9, 22, 2, 48, 2.18
9, 23, 2, 50, 2.17
9, 24, 2, 51, 2.13
9, 25, 2, 55, 2.2
9, 26, 2, 56, 2.15
9, 27, 2, 58, 2.15
9, 28, 2, 59, 2.11
9, 29, 2, 62, 2.14
9, 30, 2, 63, 2.1
9, 2, 3, 10, 5
9, 3, 3, 12, 4
9, 4, 3, 15, 3.75
9, 5, 3, 17, 3.4
9, 6, 3, 18, 3
9, 7, 3, 22, 3.14
9, 8, 3, 24, 3
9, 9, 3, 27, 3
9, 10, 3, 28, 2.8
9, 11, 3, 30, 2.73
9, 12, 3, 35, 2.92
9, 13, 3, 37, 2.85
9, 14, 3, 38, 2.71
9, 15, 3, 41, 2.73
9, 16, 3, 43, 2.69
9, 17, 3, 47, 2.76
9, 18, 3, 48, 2.67
9, 19, 3, 50, 2.63
9, 20, 3, 53, 2.65
9, 21, 3, 55, 2.62
9, 22, 3, 56, 2.55
9, 23, 3, 62, 2.7
9, 24, 3, 64, 2.67
9, 25, 3, 67, 2.68
9, 26, 3, 68, 2.62
9, 27, 3, 70, 2.59
9, 28, 3, 74, 2.64
9, 29, 3, 76, 2.62
9, 30, 3, 77, 2.57
9, 2, 4, 11, 5.5
9, 3, 4, 14, 4.67
9, 4, 4, 16, 4
9, 5, 4, 20, 4
