treeDepth, leafs, distanceLeafs, totalHashes, hashesPerLeaf
15, 10, 10, 50, 5
15, 11, 10, 55, 5
15, 12, 10, 58, 4.83
15, 13, 10, 62, 4.77
15, 14, 10, 69, 4.93
15, 15, 10, 72, 4.8
15, 16, 10, 76, 4.75
15, 17, 10, 81, 4.76
15, 18, 10, 84, 4.67
15, 19, 10, 88, 4.63
15, 20, 10, 91, 4.55
15, 21, 10, 97, 4.62
15, 22, 10, 101, 4.59
15, 23, 10, 104, 4.52
15, 24, 10, 109, 4.54
15, 25, 10, 113, 4.52
15, 26, 10, 116, 4.46
15, 27, 10, 124, 4.59
15, 28, 10, 127, 4.54
15, 29, 10, 131, 4.52
15, 30, 10, 136, 4.53
15, 31, 10, 139, 4.48
15, 32, 10, 143, 4.47
15, 33, 10, 149, 4.52
15, 34, 10, 152, 4.47
15, 35, 10, 156, 4.46
15, 36, 10, 159, 4.42
15, 37, 10, 164, 4.43
15, 38, 10, 168, 4.42
15, 39, 10, 171, 4.38
15, 40, 10, 178, 4.45
15, 41, 10, 182, 4.44
15, 42, 10, 185, 4.4
15, 43, 10, 190, 4.42
15, 44, 10, 193, 4.39
15, 45, 10, 197, 4.38
15, 46, 10, 203, 4.41
15, 47, 10, 206, 4.38
15, 48, 10, 210, 4.38
15, 49, 10, 215, 4.39
15, 50, 10, 218, 4.36
15, 10, 20, 59, 5.9
15, 11, 20, 65, 5.91
15, 12, 20, 69, 5.75
15, 13, 20, 74, 5.69
15, 14, 20, 82, 5.86
15, 15, 20, 86, 5.73
15, 16, 20, 91, 5.69
15, 17, 20, 97, 5.71
15, 18, 20, 101, 5.61
15, 19, 20, 106, 5.58
15, 20, 20, 110, 5.5
15, 21, 20, 117, 5.57
15, 22, 20, 122, 5.55
15, 23, 20, 126, 5.48
15, 24, 20, 132, 5.5
15, 25, 20, 137, 5.48
15, 26, 20, 141, 5.42
15, 27, 20, 150, 5.56
15, 28, 20, 154, 5.5
15, 29, 20, 159, 5.48
15, 30, 20, 165, 5.5
15, 31, 20, 169, 5.45
15, 32, 20, 174, 5.44
15, 33, 20, 181, 5.48
15, 34, 20, 185, 5.44
15, 35, 20, 190, 5.43
15, 36, 20, 194, 5.39
15, 37, 20, 200, 5.41
15, 38, 20, 205, 5.39
15, 39, 20, 209, 5.36
15, 40, 20, 217, 5.43
15, 41, 20, 222, 5.41
15, 42, 20, 226, 5.38
15, 43, 20, 232, 5.4
15, 44, 20, 236, 5.36
15, 45, 20, 241, 5.36
15, 46, 20, 248, 5.39
15, 47, 20, 252, 5.36
15, 48, 20, 257, 5.35
15, 49, 20, 263, 5.37
15, 50, 20, 267, 5.34
15, 10, 30, 66, 6.6
15, 11, 30, 71, 6.45
15, 12, 30, 77, 6.42
15, 13, 30, 82, 6.31
15, 14, 30, 89, 6.36
15, 15, 30, 94, 6.27
15, 16, 30, 100, 6.25
15, 17, 30, 105, 6.18
15, 18, 30, 109, 6.06
15, 19, 30, 118, 6.21
15, 20, 30, 123, 6.15
15, 21, 30, 129, 6.14
15, 22, 30, 134, 6.09
15, 23, 30, 141, 6.13
15, 24, 30, 146, 6.08
15, 25, 30, 152, 6.08
15, 26, 30, 157, 6.04
15, 27, 30, 165, 6.11
15, 28, 30, 170, 6.07
15, 29, 30, 176, 6.07
15, 30, 30, 181, 6.03
15, 31, 30, 188, 6.06
15, 32, 30, 193, 6.03
15, 33, 30, 199, 6.03
15, 34, 30, 203, 5.97
15, 35, 30, 208, 5.94
15, 36, 30, 218, 6.06
15, 37, 30, 223, 6.03
15, 38, 30, 229, 6.03
15, 39, 30, 234, 6
15, 40, 30, 241, 6.03
15, 41, 30, 246, 6
15, 42, 30, 252, 6
15, 43, 30, 257, 5.98
15, 44, 30, 265, 6.02
15, 45, 30, 270, 6
15, 46, 30, 276, 6
15, 47, 30, 281, 5.98
15, 48, 30, 288, 6
15, 49, 30, 293, 5.98
15, 50, 30, 297, 5.94
15, 10, 40, 68, 6.8
15, 11, 40, 75, 6.82
15, 12, 40, 80, 6.67
15, 13, 40, 86, 6.62
15, 14, 40, 95, 6.79
15, 15, 40, 100, 6.67
15, 16, 40, 106, 6.63
15, 17, 40, 113, 6.65
15, 18, 40, 118, 6.56
15, 19, 40, 124, 6.53
15, 20, 40, 129, 6.45
15, 21, 40, 137, 6.52
15, 22, 40, 143, 6.5
15, 23, 40, 148, 6.43
15, 24, 40, 155, 6.46
15, 25, 40, 161, 6.44
15, 26, 40, 166, 6.38
15, 27, 40, 176, 6.52
15, 28, 40, 181, 6.46
15, 29, 40, 187, 6.45
15, 30, 40, 194, 6.47
15, 31, 40, 199, 6.42
15, 32, 40, 205, 6.41
15, 33, 40, 213, 6.45
15, 34, 40, 218, 6.41
15, 35, 40, 224, 6.4
15, 36, 40, 229, 6.36
15, 37, 40, 236, 6.38
15, 38, 40, 242, 6.37
15, 39, 40, 247, 6.33
15, 40, 40, 256, 6.4
15, 41, 40, 262, 6.39
15, 42, 40, 267, 6.36
15, 43, 40, 274, 6.37
15, 44, 40, 279, 6.34
15, 45, 40, 285, 6.33
15, 46, 40, 293, 6.37
15, 47, 40, 298, 6.34
15, 48, 40, 304, 6.33
15, 49, 40, 311, 6.35
15, 50, 40, 316, 6.32
15, 10, 50, 71, 7.1
15, 11, 50, 76, 6.91
15, 12, 50, 85, 7.08
15, 13, 50, 91, 7
15, 14, 50, 98, 7
15, 15, 50, 103, 6.87
15, 16, 50, 109, 6.81
15, 17, 50, 117, 6.88
15, 18, 50, 123, 6.83
15, 19, 50, 130, 6.84
15, 20, 50, 135, 6.75
15, 21, 50, 141, 6.71
15, 22, 50, 151, 6.86
15, 23, 50, 157, 6.83
15, 24, 50, 162, 6.75
15, 25, 50, 169, 6.76
15, 26, 50, 175, 6.73
15, 27, 50, 183, 6.78
15, 28, 50, 189, 6.75
15, 29, 50, 194, 6.69
15, 30, 50, 201, 6.7
15, 31, 50, 207, 6.68
15, 32, 50, 216, 6.75
15, 33, 50, 222, 6.73
15, 34, 50, 227, 6.68
15, 35, 50, 234, 6.69
15, 36, 50, 240, 6.67
15, 37, 50, 248, 6.7
15, 38, 50, 253, 6.66
15, 39, 50, 259, 6.64
15, 40, 50, 266, 6.65
15, 41, 50, 272, 6.63
15, 42, 50, 283, 6.74
15, 43, 50, 288, 6.7
15, 44, 50, 294, 6.68
15, 45, 50, 301, 6.69
15, 46, 50, 307, 6.67
15, 47, 50, 312, 6.64
15, 48, 50, 320, 6.67
15, 49, 50, 326, 6.65
15, 50, 50, 333, 6.66
15, 10, 60, 75, 7.5
15, 11, 60, 81, 7.36
15, 12, 60, 88, 7.33
15, 13, 60, 94, 7.23
15, 14, 60, 102, 7.29
15, 15, 60, 108, 7.2
15, 16, 60, 115, 7.19
15, 17, 60, 121, 7.12
15, 18, 60, 126, 7
15, 19, 60, 136, 7.16
15, 20, 60, 142, 7.1
15, 21, 60, 149, 7.1
15, 22, 60, 155, 7.05
15, 23, 60, 163, 7.09
15, 24, 60, 169, 7.04
15, 25, 60, 176, 7.04
15, 26, 60, 182, 7
15, 27, 60, 191, 7.07
15, 28, 60, 197, 7.04
15, 29, 60, 204, 7.03
15, 30, 60, 210, 7
15, 31, 60, 218, 7.03
15, 32, 60, 224, 7
15, 33, 60, 231, 7
15, 34, 60, 236, 6.94
15, 35, 60, 242, 6.91
15, 36, 60, 253, 7.03
15, 37, 60, 259, 7
15, 38, 60, 266, 7
15, 39, 60, 272, 6.97
15, 40, 60, 280, 7
15, 41, 60, 286, 6.98
15, 42, 60, 293, 6.98
15, 43, 60, 299, 6.95
15, 44, 60, 308, 7
15, 45, 60, 314, 6.98
15, 46, 60, 321, 6.98
15, 47, 60, 327, 6.96
15, 48, 60, 335, 6.98
15, 49, 60, 341, 6.96
15, 50, 60, 346, 6.92
15, 10, 70, 76, 7.6
15, 11, 70, 83, 7.55
15, 12, 70, 91, 7.58
15, 13, 70, 97, 7.46
15, 14, 70, 104, 7.43
15, 15, 70, 110, 7.33
15, 16, 70, 120, 7.5
15, 17, 70, 126, 7.41
15, 18, 70, 133, 7.39
15, 19, 70, 139, 7.32
15, 20, 70, 147, 7.35
15, 21, 70, 153, 7.29
15, 22, 70, 160, 7.27
15, 23, 70, 169, 7.35
15, 24, 70, 175, 7.29
15, 25, 70, 182, 7.28
15, 26, 70, 188, 7.23
15, 27, 70, 196, 7.26
15, 28, 70, 202, 7.21
15, 29, 70, 209, 7.21
15, 30, 70, 215, 7.17
15, 31, 70, 226, 7.29
15, 32, 70, 232, 7.25
15, 33, 70, 239, 7.24
