file, compile_opt_sec, memusg_compile_KiB, setup_opt_sec, memusg_setup_KiB, witness_opt_sec, memusg_witness_KiB, proof_opt_sec, memusg_proof_KiB, constr_opt
10_8, 1343, 10839736, 897, 8578340, 165, 7478620, 351, 8517428, 1602611
10_8_trade, 1271, 8578340, 931, 9314040, 166, 7555472, 353, 8838112, 1760627
20_8, 3573, 7478620, 1886, 8901668, 360, 8327488, 747, 10876040, 3149251
20_8_trade, 3971, 8517428, 1917, 8929000, 358, 7819764, 753, 10546080, 3282367
30_8, 11393, 13105192, 3205, 10338680, 558, 8873020, 1219, 11302304, 4695891
30_8_trade, 13557, 9314040, 3265, 9130276, 557, 8585908, 1261, 11560512, 4804107
3_8, 365, 7555472, 267, 2805976, 49, 2266496, 89, 7002972, 519963
3_8_trade, 388, 8838112, 356, 3064620, 51, 2371188, 101, 7398344, 695409
5_8, 602, 12139308, 445, 4672836, 82, 3738308, 159, 9890200, 829291
5_8_trade, 628, 8901668, 491, 4750452, 83, 3841232, 166, 10489336, 999757
